EIN_value,Name,Gross_Revenue,Net_Revenue,Tax_Period_Year,PDF_URL,City,State,NTEE_Code,Form_Type
10018922,American Legion,187869,12090,2022,,Winslow,ME,,0
10018922,American Legion,187869,12090,2022,,Winslow,ME,,0
10018922,American Legion,187869,12090,2022,,Winslow,ME,,0
10018923,American Legion Post 0019 Thomas W Cole Post,260386,45108,2022,,Sanford,ME,,0
10018923,American Legion Post 0019 Thomas W Cole Post,260386,45108,2022,,Sanford,ME,,0
10018927,American Legion Post 0005 Bourque Lanigan,8138,-9750,2021,,Waterville,ME,,0
10018930,American Legion,1044669,228423,2022,,Winslow,ME,,0
10019705,Ancient Free & Accepted Masons Of Maine Grand Lodge,428272,138021,2021,,Holden,ME,,0
10021545,Maine State Chamber Of Commerce,1966423,128852,2021,,Augusta,ME,,0
10022320,Augusta Country Club,1867113,205942,2021,,Manchester,ME,,0
10022415,Kennebec Valley Chamber Of Commerce,454098,91313,2021,,Augusta,ME,,0
10024245,Bangor Region Chamber Of Commerce,541781,23005,2021,,Bangor,ME,,0
10024455,Benevolent & Protective Order Of Elks Of The Usa,534131,60836,2022,,Bangor,ME,,0
10024645,Bangor Symphony Orchestra,928953,333779,2021,,Bangor,ME,A69Z,0
10027741,Benevolent & Protective Order Of Elks Of The Usa,637741,141684,2022,,Augusta,ME,,0
10027746,Benevolent & Protective Order Of Elks Of The Usa,144210,27577,2021,,Houlton,ME,,0
10027748,Benevolent & Protective Order Of Elks Of The Usa,109782,-109321,2021,,Portland,ME,,0
10027751,Benevolent & Protective Order Of Elks Of The Usa,596322,-10547,2022,,Rockland,ME,,0
10028850,Berwick Cemetery Association Inc,106119,-67613,2021,,Berwick,ME,Y50,0
10029480,Biddeford Saco Chamber Of Commerce Inc,159680,-3657,2020,,Biddeford,ME,,0
10032215,Boothbay Harbor Yacht Club,1037908,67706,2021,,W Boothby Hbr,ME,,0
10032215,Boothbay Harbor Yacht Club,1037908,67706,2021,,W Boothby Hbr,ME,,0
10032215,Boothbay Harbor Yacht Club,1037908,67706,2021,,W Boothby Hbr,ME,,0
10039552,Camden Yacht Club,553335,-19934,2021,,Camden,ME,,0
10043280,Portland Regional Chamber,912862,29569,2021,,Portland,ME,,0
10043285,Lewiston Auburn Metropolitan Chamber Of Commerce,920955,196994,2021,,Lewiston,ME,,0
10044660,Christian Civic League Of Maine Inc,399715,55431,2021,,Augusta,ME,X20Z,0
10052260,Cumberland Club,1185645,168808,2021,,Portland,ME,N50,0
10055140,Hallowell Centennial Burial Ground Assn Inc,194001,180640,2022,,Hallowell,ME,,0
10056837,Eastern Maine Electric Cooperative Inc,16418871,0,2021,,Calais,ME,,0
10061300,Fraternal Order Of Eagles,59584,-11561,2021,,Skowhegan,ME,,0
10063057,Fraternal Order Of Eagles,367091,-41651,2022,,Biddeford,ME,,0
10063057,Fraternal Order Of Eagles,367091,-41651,2022,,Biddeford,ME,,0
10063430,Benevolent & Protective Order Of Elks Of The Usa,773107,143965,2022,,Waterville,ME,,0
10083190,Greenwood Cemetery Association,502422,397643,2022,,Biddeford,ME,,0
10085716,Hancock County Agricultural Society,404927,11381,2021,,Blue Hill,ME,N52,0
10085716,Hancock County Agricultural Society,404927,11381,2021,,Blue Hill,ME,N52,0
10085716,Hancock County Agricultural Society,404927,11381,2021,,Blue Hill,ME,N52,0
10086202,Harbor Club Inc,873637,64874,2021,,Mount Desert,ME,,0
10092600,Hope Cemetery Corporation,182263,11273,2021,,Kennebunk,ME,,0
10095414,Independent Order Of Odd Fellows,431111,203764,2022,,Auburn,ME,,0
10095705,International Brotherhood Of Electrical Workers,971476,280472,2021,,Lewiston,ME,,0
