EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
561735521,WRITTEN APPLICATION FORM,AMBER WALKER CHAIRPERSON ASHEBORO H,PRIOR TO APRIL 30 OF EACH SCHOOL YEAR,ONE ASHEBORO HIGH SCHOOL MALE AND ONE ASHEBORO HIGH SCHOOL FEMALE EACH YEAR SELECTED FOR NEED AND ACADEMIC EXCELLENCE FOR FURTHER EDUCATION,no,N/A
271586209,For Matching Gifts: 3 Part Form completed by eligible individuals and institutions.,BRUCE HAZELGROVE III,September 2022,For Matching Gifts: Non profit educational institutions - secondary schools in the US.,no,N/A
261175028,NONE,KATI L CESARIO,NONE,501(C)(3) CHARITABLE ORGANIZATIONS,no,N/A
010793830,No Formal Application Required. A Request in Letter Form Setting Forth Details of Funds Requested Is Acceptable.,Joseph A Stroud President,None,None,no,N/A
730768139,APPLICANTS SUBMIT LETTER FROM DR/CLINIC STATING MEDICAL NEEDS OR DOCUMENTATION OF EXPENSES THAT ASSIST GOOD HEALTH AND HEALTHY LIFESTYLES.,DAN V LITTLE,NONE,AMOUNTS AWARDED ARE FOR MEDICAL COSTS OR EXPENSES THAT ASSIST GOOD HEALTH AND HEALTHY LIFESTYLES.,no,N/A
237061900,"TO APPLY, THE STUDENT MUST 1. COMPLETE THE APPLICATION 2. RETURN THE COMPLETED APPLICATION TO THEIR APPLICATION SPONSOR BY THE DEADLINE DATE ON THE APPLICATION 3. SIGN DISCLOSURE FORM ATTACHED TO APPLICATION",MO PARKS RECREATION SCHOLARSHIP,AS LISTED ON THE APPLICATION,"SCHOLARSHIPS ARE AWARDED TO STUDENTS AT MISSOURI UNIVERSITIES WHO DECLARE MAJORS IN RECREATION/PARKS/LEISURE SERVICES/SPORT CURRICULUMS ACCREDITED BY THE NATIONAL RECREATION AND PARK ASSOCIATION. 1. BE ENROLLED, FOR AT LEAST THE SPRING SEMESTER OF THE SCHOLARSHIP YEAR, AS FULL-TIME JUNIOR, SENIOR OR GRADUATE STUDENT IN A QUALIFYING RECREATION/PARKS/LEISURE SERVICES/SPORT CURRICULUM. 2. CUMULATIVE GPA OF 2.5 OR BETTER (4.0 SCALE) AT THE UNIVERSITY FROM WHICH THE SCHOLARSHIP IS BEING SOUGHT. 3. EXHIBIT A SINCERE INTEREST IN RECREATION/PARKS/LEISURE SERVICE/SPORT AND PROVIDE EVIDENCE OF MAKING A POSITIVE CONTRIBUTION TO THE FIELD. 4. HAVE THE ENDORSEMENT OF THE CHAIR OR FACULTY ADVISOR OF THE RECREATION/PARKS/LEISURE SERVICES/SPORT PROGRAM AT THE UNIVERSITY ATTENDED.",no,N/A
251739254,"IN WRITING: ORGANIZATION'S NAME, CHARITABLE PURPOSE, AND USE OF THE GRANT.",HELEN WYLIE,NONE,NONE,no,N/A
030503224,APPLICATIONS ARE DISTRIBUTED TO SENIOR FOOTBALL PLAYERS OF CLARK HIGH SCHOOL.,JEFF SCHORR,DEADLINES ARE NOTED ON THE APPLICATION.,THE CLARK TEXAS FOOTBALL CLUB PROVIDES FINANCIAL BASED SCHOLARSHIPS TO GRADUATING FOOTBALL PLAYERS.,no,N/A
366115950,"LETTER WITH PROGRAM SUMMARIES, ORGANIZATION HISTORY AND PRINCIPALS INVOLVED",LYNETTE MCCORTNEY,NONE,MOSTLY LIMITED TO ILLINOIS AND MISSOURI CHARITIES,no,N/A
364144869,IN WRITING; TO CONTACT PERSON; DESCRIBE ORG'N & PURPOSE,BARRY SETH,NONE,NONE,no,N/A
841975190,NONE,LEILANI BODUCH,NONE,NONE,no,N/A
352088071,"A FORMAL APPLICATION MUST BE SUBMITTED FOR A SCHOLARSHIP. THE REQUIRED DOCUMENTION MUST INCLUDE: HIGH SCHOOL TRANSCRIPT, COURSE STUDIES, PROOF OF RESIDENCY AND A LETTER OF RECOMMENDATION.",THOMAS BURKE,APPLICATIONS MUST BE SUBMITTED BY APRIL 30 OF THE YEAR.,"SCHOLARSHIP GRANTS WILL BE PROVIDED TO ELIGIBLE CANDIDATES IN PURSUING EDUCATION OPPORTUNITIES IN THE LAST TWO YEARS OF HIGH SCHOOL, AND IN POST-SECONDARY EDUCATION, IN A FIELD OF SCIENCE RELATED OR HAVING A FUTURE CONTRIBUTION TO THE SPACE PROGRAM AND/OR CONSTRUCTION AND MAINTENANCE OF HABITATS CAPABLE OF SUPPORTING HUMAN LIFE IN SPACE, ON SATELLITES, OR ON OTHER PLANETS.",no,N/A
465166978,No particular form required,Charles W Kennedy Jr,None,No restrictions or limitations,no,N/A
825083706,Email to jackmattssonfoundation@gmail.com for program requirements,Rudy Mattsson,n/a,n/a,no,N/A
133216256,APPLICATIONS SHOULD BE SUBMITTED IN WRITING,THE EGGLESTON FOUNDATION,NONE,PUBLIC CHARITIES,no,N/A
953607882,SEE STATEMENT 18,BAILEY MALONE,SEE STATEMENT 18,SEE STATEMENT 18,no,N/A
541257908,"APPLICATIONS SHOULD BE BY LETTER ON THE APPLICANT'S STATIONARY AND SHOULD INDICATE THE TAX EXEMPT STATUS OF THE APPLYING ORGANIZATION, A DESCRIPTION OF THE APPLICANT'S PURPOSE AND THE OBJECTIVE AND PURPOSE OF THE GRANT.",JARED M DRESCHER-THE DRESCHER FOUND,NONE,"AWARDS MUST BE GIVEN FOR CHARITABLE, RELIGIOUS, EDUCATIONAL OR SCIENTIFIC PURPOSES.",no,N/A
912105315,APPLICATION LETTER,BATH SAVINGS TRUST CO,NONE,"GRANTS ARE RESTRICTED TO PUBLIC CHARITIES WHICH PROVIDE SERVICES IN THE STATE OF MAINE. PREFERENCE IS GIVEN TO THE TOWNS OF BRUNSWICK, TOPSHAM, DURHAM, HARPSWELL, WEST BATH, LISBON AND BATH.",no,N/A
