EIN_value,Name,State,City,NTEE_Code,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
561735521,John Shaw Tillman And Anna Walters Tillman Scholarship Trust,NC,Asheboro,,WRITTEN APPLICATION FORM,AMBER WALKER CHAIRPERSON ASHEBORO H,PRIOR TO APRIL 30 OF EACH SCHOOL YEAR,ONE ASHEBORO HIGH SCHOOL MALE AND ONE ASHEBORO HIGH SCHOOL FEMALE EACH YEAR SELECTED FOR NEED AND ACADEMIC EXCELLENCE FOR FURTHER EDUCATION,no,
271586209,Newmarket Foundation,VA,Richmond,T20,For Matching Gifts: 3 Part Form completed by eligible individuals and institutions.,BRUCE HAZELGROVE III,September 2022,For Matching Gifts: Non profit educational institutions - secondary schools in the US.,no,
261175028,Gpk Foundation,TX,Buda,T22,NONE,KATI L CESARIO,NONE,501(C)(3) CHARITABLE ORGANIZATIONS,no,
10793830,Stroud Foundation,IL,Oak Brook,T20,No Formal Application Required. A Request in Letter Form Setting Forth Details of Funds Requested Is Acceptable.,Joseph A Stroud President,,,no,
730768139,The Reuel And Oteka Little Family Foundation,OK,Madill,,APPLICANTS SUBMIT LETTER FROM DR/CLINIC STATING MEDICAL NEEDS OR DOCUMENTATION OF EXPENSES THAT ASSIST GOOD HEALTH AND HEALTHY LIFESTYLES.,DAN V LITTLE,NONE,AMOUNTS AWARDED ARE FOR MEDICAL COSTS OR EXPENSES THAT ASSIST GOOD HEALTH AND HEALTHY LIFESTYLES.,no,
237061900,Missouri Park And Recreation Scholarship Charitable Trust,MO,Columbia,T11,"TO APPLY, THE STUDENT MUST 1. COMPLETE THE APPLICATION 2. RETURN THE COMPLETED APPLICATION TO THEIR APPLICATION SPONSOR BY THE DEADLINE DATE ON THE APPLICATION 3. SIGN DISCLOSURE FORM ATTACHED TO APPLICATION",MO PARKS RECREATION SCHOLARSHIP,AS LISTED ON THE APPLICATION,"SCHOLARSHIPS ARE AWARDED TO STUDENTS AT MISSOURI UNIVERSITIES WHO DECLARE MAJORS IN RECREATION/PARKS/LEISURE SERVICES/SPORT CURRICULUMS ACCREDITED BY THE NATIONAL RECREATION AND PARK ASSOCIATION. 1. BE ENROLLED, FOR AT LEAST THE SPRING SEMESTER OF THE SCHOLARSHIP YEAR, AS FULL-TIME JUNIOR, SENIOR OR GRADUATE STUDENT IN A QUALIFYING RECREATION/PARKS/LEISURE SERVICES/SPORT CURRICULUM. 2. CUMULATIVE GPA OF 2.5 OR BETTER (4.0 SCALE) AT THE UNIVERSITY FROM WHICH THE SCHOLARSHIP IS BEING SOUGHT. 3. EXHIBIT A SINCERE INTEREST IN RECREATION/PARKS/LEISURE SERVICE/SPORT AND PROVIDE EVIDENCE OF MAKING A POSITIVE CONTRIBUTION TO THE FIELD. 4. HAVE THE ENDORSEMENT OF THE CHAIR OR FACULTY ADVISOR OF THE RECREATION/PARKS/LEISURE SERVICES/SPORT PROGRAM AT THE UNIVERSITY ATTENDED.",no,
251739254,Byham Charitable Foundation,PA,Bridgeville,T20,"IN WRITING: ORGANIZATION'S NAME, CHARITABLE PURPOSE, AND USE OF THE GRANT.",HELEN WYLIE,NONE,NONE,no,
30503224,Clark Texas Football Club,TX,San Antonio,B82,APPLICATIONS ARE DISTRIBUTED TO SENIOR FOOTBALL PLAYERS OF CLARK HIGH SCHOOL.,JEFF SCHORR,DEADLINES ARE NOTED ON THE APPLICATION.,THE CLARK TEXAS FOOTBALL CLUB PROVIDES FINANCIAL BASED SCHOLARSHIPS TO GRADUATING FOOTBALL PLAYERS.,no,
366115950,Mccortney Foundation,IL,Park Ridge,,"LETTER WITH PROGRAM SUMMARIES, ORGANIZATION HISTORY AND PRINCIPALS INVOLVED",LYNETTE MCCORTNEY,NONE,MOSTLY LIMITED TO ILLINOIS AND MISSOURI CHARITIES,no,
364144869,Chris And Irene Seth Family Foundation,IL,Deerfield,T20Z,IN WRITING; TO CONTACT PERSON; DESCRIBE ORG'N & PURPOSE,BARRY SETH,NONE,NONE,no,
